Tally	fasta	PCA	Accession	Code	Country	Latitude	Longitude	CEN178_total	CEN178_CEN1	CEN178_CEN2	CEN178_CEN3	CEN178_CEN4	CEN178_CEN5	CEN1	CEN2	CEN3	CEN4	CEN5	PCA	Accession	CEN159	5S_rDNA	other	ATHILA_INTACT	ATHILA_soloLTR	ATHILA.INTACT.CEN	ATHILA.SOLO.CEN	ATHILA.INTACTSOLO.CEN.ratio	ATHILA.INTACT.outCEN	ATHILA.SOLO.outCEN	ATHILA.INTACTSOLO.outCEN.ratio	HORs_Total	HORs_Chr1	HORs_Chr2	HORs_Chr3	HORs_Chr4	HORs_Chr5	Accession	HORs.tot.norm	CEN1	HOR1.norm	CEN2	HOR2.norm	CEN3	HOR3.norm	CEN4	HOR4.norm	CEN5	HOR5.norm
1	9503.scaffolds.bionano.final.fa	Eurasian	11C1	at9503	United Kingdom	55,8877	-3,21072	79863	12191	14765	20569	14937	17401	Orphan	12	7	1	2	Eurasian	11C1	1705	3133	18012	142	230	16	7	2,3	126	223	0,6	7031212	674288	731632	2685404	1729226	1210662	11C1	88,04092008	Orphan	55,31031089	12	49,55177785	7	130,5558851	1	115,7679588	2	69,57427734
2	Alo-0.ragtag_scaffolds.fa	Eurasian	Alo-0	na	Spain	40,109691	-7,476146	82614	18165	23495	10150	11930	18874	Orphan	4	3	1	2	Eurasian	Alo-0	730	4814	14112	135	217	6	18	0,3	129	199	0,6	7743294	3114830	2723898	672168	325042	907356	Alo-0	93,72859322	Orphan	171,4742637	4	115,9352203	3	66,22344828	1	27,24576697	2	48,07438805
3	ANGE-B-2.ragtag_scaffolds.fa	Eurasian	ANGE-B-2	na	France	43,91214	1,656855	82873	14655	19819	17306	15534	15559	1	6	1	1	1	Eurasian	ANGE-B-2	848	4556	22570	135	201	16	4	4,0	119	197	0,6	10975734	2090754	2136788	4216618	1293606	1237968	ANGE-B-2	132,4404088	1	142,6648925	6	107,8151269	1	243,6506414	1	83,27578216	1	79,56603895
4	ANGE-B-10.ragtag_scaffolds.fa	Eurasian	ANGE-B-10	na	France	43,9121	1,6569	81548	14772	18176	17373	15185	16042	1	4	1	1	1	Eurasian	ANGE-B-10	1199	4224	20838	176	219	43	11	3,9	133	208	0,6	10389014	2122164	935076	4101432	1269718	1960624	ANGE-B-10	127,3975327	1	143,661251	4	51,44564261	1	236,0808151	1	83,61659532	1	122,2181773
5	AUZE-A-5.ragtag_scaffolds.fa	Eurasian	AUZE-A-5	na	France	43,527792	1,491628	73098	15950	9904	21564	8972	16708	4	Orphan	Orphan	2	4	Eurasian	AUZE-A-5	809	4857	10673	142	192	27	12	2,3	115	180	0,6	18665810	3560110	258808	13546710	316450	983732	AUZE-A-5	255,3532244	4	223,2043887	Orphan	26,13166397	Orphan	628,2095159	2	35,27084262	4	58,8779028
6	BANI-C-1.ragtag_scaffolds.fa	Eurasian	BANI-C-1	na	France	43,043644	0,234303	67103	15942	11160	11357	12295	16349	1	1	8	4	1	Eurasian	BANI-C-1	2160	3336	16269	151	192	40	6	6,7	111	186	0,6	12173498	8522272	590338	678436	303738	2078714	BANI-C-1	181,4151081	1	534,579852	1	52,89767025	8	59,73725456	4	24,70418869	1	127,1462475
7	BANI-C-12.ragtag_scaffolds.fa	Eurasian	BANI-C-12	na	France	43,043644	0,234303	77854	19333	12546	17281	9126	19568	4	Orphan	1	2	7	Eurasian	BANI-C-12	4729	5393	23637	150	218	12	8	1,5	138	210	0,7	9343944	1770260	1141206	4121664	317306	1993508	BANI-C-12	120,0188044	4	91,56675115	Orphan	90,96174079	1	238,5084197	2	34,76944992	7	101,8759199
8	BARA-C-3.ragtag_scaffolds.fa	Eurasian	BARA-C-3	na	France	44,270842	2,427551	69899	20430	14043	14180	8965	12281	2	1	6	2	1	Eurasian	BARA-C-3	1562	8030	9524	128	182	14	5	2,8	114	177	0,6	6143388	2429906	936928	1381092	303412	1092050	BARA-C-3	87,8894977	2	118,9381302	1	66,71850744	6	97,39717913	2	33,84406023	1	88,9219119
9	BARA-C-5.ragtag_scaffolds.fa	Eurasian	BARA-C-5	na	France	44,270842	2,427551	82046	18557	16575	20351	9419	17144	1	5	7	3	3	Eurasian	BARA-C-5	1549	4950	18995	151	195	29	5	5,8	122	190	0,6	13120954	7661946	1932186	2685910	386396	454516	BARA-C-5	159,9219218	1	412,8871046	5	116,5723077	7	131,9792639	3	41,02303854	3	26,51166589
10	BARC-A-12.ragtag_scaffolds.fa	Eurasian	BARC-A-12	na	France	43,362044	0,387723	79064	22682	15171	9648	15563	16000	2	12	2	1	1	Eurasian	BARC-A-12	2274	3816	12005	157	210	45	7	6,4	112	203	0,6	7510426	3887824	805668	504666	344556	1967712	BARC-A-12	94,99172822	2	171,4056961	12	53,10579395	2	52,30783582	1	22,13943327	1	122,982
